2018-07-10 23:13:17,469:qtcode.testview:DEBUG:testview is initialized
2018-07-10 23:13:17,515:qtcode.exampleview:DEBUG:exampleview created
2018-07-10 23:14:22,197:consoleview:INFO:(480, 535)
2018-07-10 23:14:22,306:consoleview:INFO:(480, 535)
2018-07-10 23:14:22,411:consoleview:INFO:(480, 535)
2018-07-10 23:14:22,520:consoleview:INFO:(480, 535)
2018-07-10 23:14:22,625:consoleview:INFO:(480, 535)
2018-07-10 23:14:22,735:consoleview:INFO:(480, 535)
2018-07-10 23:14:22,851:consoleview:INFO:(480, 535)
2018-07-10 23:14:22,959:consoleview:INFO:(480, 535)
2018-07-10 23:14:23,064:consoleview:INFO:(480, 535)
2018-07-10 23:14:23,174:consoleview:INFO:(480, 535)
2018-07-10 23:14:23,282:consoleview:INFO:(480, 535)
2018-07-10 23:14:23,392:consoleview:INFO:(480, 535)
2018-07-10 23:14:23,498:consoleview:INFO:(480, 535)
2018-07-10 23:14:23,603:consoleview:INFO:(464, 561)
2018-07-10 23:14:23,708:consoleview:INFO:(497, 674)
2018-07-10 23:14:23,812:consoleview:INFO:(595, 767)
2018-07-10 23:14:23,915:consoleview:INFO:(603, 772)
2018-07-10 23:14:24,020:consoleview:INFO:(599, 772)
2018-07-10 23:14:24,123:consoleview:INFO:(599, 772)
2018-07-10 23:14:24,226:consoleview:INFO:(599, 772)
2018-07-10 23:14:24,330:consoleview:INFO:(608, 797)
2018-07-10 23:14:24,433:consoleview:INFO:(642, 900)
2018-07-10 23:14:24,535:consoleview:INFO:(743, 940)
2018-07-10 23:14:24,638:consoleview:INFO:(876, 908)
2018-07-10 23:14:24,744:consoleview:INFO:(915, 888)
2018-07-10 23:14:24,851:consoleview:INFO:(1012, 984)
2018-07-10 23:14:24,960:consoleview:INFO:(1195, 1062)
2018-07-10 23:14:25,065:consoleview:INFO:(1431, 930)
2018-07-10 23:14:25,170:consoleview:INFO:(1467, 822)
2018-07-10 23:14:25,275:consoleview:INFO:(1611, 735)
2018-07-10 23:14:25,381:consoleview:INFO:(1689, 668)
2018-07-10 23:14:25,486:consoleview:INFO:(1667, 607)
2018-07-10 23:14:25,594:consoleview:INFO:(1595, 537)
2018-07-10 23:14:25,699:consoleview:INFO:(1458, 469)
2018-07-10 23:14:25,807:consoleview:INFO:(1255, 458)
2018-07-10 23:14:25,916:consoleview:INFO:(929, 440)
2018-07-10 23:14:26,020:consoleview:INFO:(780, 435)
2018-07-10 23:14:26,124:consoleview:INFO:(669, 444)
2018-07-10 23:14:26,233:consoleview:INFO:(504, 452)
